IDSBR,Status
6196583,Berhasil
6197024,Berhasil
6197108,Berhasil
6197151,Berhasil
6197194,Berhasil
6197552,Berhasil
6197697,Berhasil
6197760,Berhasil
6197935,Berhasil
6197965,Berhasil
6198095,Berhasil
6198155,Berhasil
6198156,Berhasil
6198343,Gagal - PCL nan tidak ada
6198390,Berhasil
6198804,Berhasil
6198856,Berhasil
6198892,Berhasil
6199224,Berhasil
6199334,Gagal - PCL nan tidak ada
6199422,Berhasil
6199473,Berhasil
6199611,Berhasil
6199711,Berhasil
6199765,Berhasil
6199878,Berhasil
6199883,Gagal - PCL nan tidak ada
6199920,Berhasil
6199955,Berhasil
6199983,Berhasil
6200006,Berhasil
6200153,Berhasil
6200159,Berhasil
6200217,Berhasil
6200231,Berhasil
6200752,Berhasil
6200940,Berhasil
6201549,Berhasil
6202430,Berhasil
6202443,Berhasil
6202446,Berhasil
6202457,Berhasil
6202505,Gagal - PCL nan tidak ada
6202506,Berhasil
6202507,Berhasil
6202509,Berhasil
6202510,Berhasil
6202539,Berhasil
6202540,Berhasil
6202592,Berhasil
6202604,Berhasil
6202615,Berhasil
6202617,Berhasil
6202634,Berhasil
6202651,Berhasil
6202659,Berhasil
6202660,Berhasil
6202689,Berhasil
6202704,Berhasil
6202711,Berhasil
6202714,Berhasil
6202736,Berhasil
6202783,Berhasil
6288686,Berhasil
6288929,Berhasil
6288957,Berhasil
6288993,Berhasil
6289075,Berhasil
6289087,Berhasil
6289260,Berhasil
6289351,Berhasil
6289647,Berhasil
6289677,Berhasil
6289923,Berhasil
6289943,Berhasil
6290086,Berhasil
6470186,Berhasil
6470192,Berhasil
6472655,Berhasil
6473144,Berhasil
6477365,Berhasil
6704885,Berhasil
6704898,Berhasil
6704899,Berhasil
6704919,Berhasil
6704928,Berhasil
6704937,Berhasil
6704947,Berhasil
6704963,Berhasil
6705529,Berhasil
6730430,Berhasil
7267604,Berhasil
7268718,Berhasil
7268783,Berhasil
7268955,Berhasil
7269035,Berhasil
7269097,Berhasil
7270681,Berhasil
7270891,Berhasil
7271102,Berhasil
7271606,Berhasil
7273149,Berhasil
7273209,Berhasil
7273433,Berhasil
7273626,Berhasil
7274311,Berhasil
7276747,Berhasil
7276959,Berhasil
7277884,Berhasil
7278764,Berhasil
7279634,Berhasil
7279635,Berhasil
7279637,Berhasil
7279639,Berhasil
7279640,Berhasil
7279642,Berhasil
7279645,Berhasil
7279649,Berhasil
7279653,Berhasil
7280261,Berhasil
7280269,Berhasil
7475499,Berhasil
7475655,Berhasil
7476075,Berhasil
7476287,Berhasil
7477000,Berhasil
7477792,Berhasil
7477836,Berhasil
7477849,Berhasil
7477850,Berhasil
7477894,Berhasil
7479862,Berhasil
7480173,Berhasil
7480339,Berhasil
7480395,Berhasil
7480420,Berhasil
7480625,Berhasil
7480695,Berhasil
7480837,Berhasil
7480972,Berhasil
7480998,Berhasil
7481048,Berhasil
7481051,Berhasil
7481436,Berhasil
7482063,Berhasil
7482116,Berhasil
7482123,Berhasil
7482133,Berhasil
7482337,Berhasil
7482512,Berhasil
7482603,Berhasil
7482607,Berhasil
7482767,Berhasil
7482871,Berhasil
7483021,Berhasil
7483215,Berhasil
7484182,Berhasil
7484363,Berhasil
7484566,Berhasil
7484575,Berhasil
7484592,Berhasil
7484645,Berhasil
7484811,Berhasil
7484846,Berhasil
7485036,Berhasil
7485377,Berhasil
7485565,Berhasil
7485802,Berhasil
7485813,Berhasil
7485868,Berhasil
7487453,Berhasil
7487586,Berhasil
7487609,Berhasil
7487635,Berhasil
7487714,Berhasil
7487760,Berhasil
7487921,Berhasil
7487947,Berhasil
7488101,Berhasil
7488708,Berhasil
7488713,Berhasil
7488782,Berhasil
7488983,Berhasil
7488986,Berhasil
7489107,Berhasil
7489232,Berhasil
7489238,Berhasil
7489300,Berhasil
7489315,Berhasil
7489562,Berhasil
7489861,Berhasil
7489922,Berhasil
94414453,Berhasil
94420251,Berhasil
94420277,Berhasil
94440253,Berhasil
94456437,Berhasil
94456973,Berhasil
94637541,Berhasil
94650931,Berhasil
94904,Berhasil
95799142,Berhasil
95800624,Berhasil
95801957,Berhasil
95802059,Berhasil
95802209,Berhasil
95803147,Berhasil
95803186,Berhasil
95803302,Berhasil
95804923,Berhasil
95805263,Berhasil
95805673,Berhasil
95806255,Berhasil
95806349,Berhasil
95806729,Berhasil
95807645,Berhasil
95808063,Berhasil
95808065,Berhasil
95808693,Berhasil
95809040,Gagal - PCL nan tidak ada
95809400,Berhasil
95810901,Berhasil
95810989,Berhasil
95811049,Berhasil
95811169,Berhasil
95811286,Berhasil
95811306,Berhasil
95811958,Berhasil
95811959,Berhasil
95812386,Berhasil
95812428,Berhasil
95812863,Berhasil
95812893,Berhasil
95813852,Berhasil
95813863,Berhasil
95814885,Berhasil
95815401,Berhasil
95819949,Berhasil
95819996,Berhasil
95820378,Berhasil
95820419,Berhasil
95820554,Berhasil
95820672,Berhasil
95821135,Berhasil
95821271,Berhasil
95821353,Berhasil
95821868,Berhasil
95822066,Berhasil
95823190,Berhasil
95823288,Berhasil
95823858,Berhasil
95824973,Berhasil
95825446,Berhasil
95825632,Berhasil
95826385,Berhasil
95827205,Berhasil
95829060,Berhasil
95830052,Berhasil
95830208,Berhasil
95830484,Berhasil
95830751,Berhasil
95831029,Berhasil
95831751,Berhasil
95833403,Berhasil
95833711,Berhasil
95834066,Berhasil
95834081,Berhasil
95834082,Berhasil
95834157,Berhasil
95834220,Berhasil
95836479,Berhasil
95837208,Berhasil
95838506,Berhasil
95838773,Berhasil
95839196,Berhasil
95839355,Berhasil
95843907,Berhasil
95843976,Berhasil
95843977,Berhasil
95845132,Berhasil
95845712,Berhasil
95845928,Berhasil
95846017,Berhasil
95846507,Berhasil
95846703,Berhasil
95846748,Berhasil
95846954,Berhasil
95847020,Berhasil
95847663,Berhasil
95848482,Berhasil
95849320,Berhasil
95849372,Berhasil
95849649,Berhasil
95849881,Berhasil
95850198,Berhasil
95851289,Berhasil
95852973,Berhasil
95853798,Berhasil
95853801,Berhasil
95853805,Berhasil
95853852,Berhasil
95853995,Berhasil
95855018,Berhasil
95855336,Berhasil
95856233,Berhasil
95856590,Berhasil
95857392,Berhasil
95858021,Berhasil
95858577,Berhasil
95859457,Berhasil
95860971,Berhasil
95864931,Berhasil
95864932,Berhasil
95864949,Berhasil
95865150,Berhasil
95866190,Berhasil
95866622,Berhasil
95867980,Berhasil
95869212,Berhasil
95869659,Berhasil
95869745,Berhasil
95871076,Berhasil
95871366,Berhasil
95871369,Berhasil
95871845,Berhasil
95871936,Berhasil
95872221,Berhasil
95872265,Berhasil
95872412,Berhasil
95872892,Berhasil
95873105,Berhasil
95873277,Berhasil
95873528,Berhasil
95874111,Berhasil
95874160,Berhasil
95874167,Berhasil
95874484,Berhasil
95874675,Berhasil
95875345,Berhasil
95876674,Berhasil
95877040,Berhasil
95878777,Berhasil
95879484,Berhasil
95879498,Berhasil
95879566,Berhasil
95880182,Berhasil
95880974,Berhasil
95882354,Berhasil
95883404,Berhasil
95883468,Berhasil
95884606,Berhasil
95885329,Berhasil
95888585,Berhasil
95888778,Berhasil
95889117,Berhasil
95890747,Gagal - PCL nan tidak ada
95890874,Berhasil
95890987,Berhasil
95891001,Berhasil
95891003,Berhasil
95891505,Berhasil
95891506,Berhasil
95891741,Berhasil
95891994,Berhasil
95892425,Berhasil
95892469,Berhasil
95892761,Berhasil
95892762,Berhasil
95893741,Berhasil
95893798,Berhasil
95896501,Berhasil
95896756,Berhasil
95897392,Berhasil
95897664,Berhasil
95898052,Berhasil
95898558,Berhasil
95898719,Berhasil
95898835,Berhasil
95898857,Berhasil
95899055,Berhasil
95899061,Berhasil
95899426,Berhasil
95899628,Berhasil
95899689,Berhasil
95899889,Berhasil
95900407,Berhasil
95901035,Berhasil
95901376,Berhasil
95902025,Berhasil
95902428,Berhasil
95902545,Berhasil
95903367,Berhasil
95903677,Berhasil
95903819,Berhasil
95904783,Berhasil
95904832,Berhasil
95904898,Berhasil
95906647,Berhasil
95907358,Berhasil
95907483,Berhasil
95907816,Berhasil
95907986,Berhasil
95908254,Berhasil
95908545,Berhasil
95910928,Berhasil
95911192,Berhasil
95911891,Berhasil
95913233,Berhasil
95913478,Berhasil
95913567,Berhasil
95914335,Berhasil
95914553,Berhasil
95914588,Berhasil
95916632,Berhasil
95917329,Berhasil
95917600,Berhasil
95917984,Gagal - PCL nan tidak ada
95918050,Berhasil
95918151,Berhasil
95918166,Berhasil
95918413,Berhasil
95918617,Berhasil
95920147,Berhasil
95920241,Berhasil
95920254,Berhasil
95920282,Berhasil
95920772,Berhasil
95922069,Berhasil
95922396,Berhasil
95923818,Berhasil
95923967,Berhasil
95924135,Berhasil
95924559,Berhasil
95924699,Gagal - PCL nan tidak ada
95924950,Berhasil
95925550,Berhasil
95926038,Berhasil
95927231,Berhasil
95927438,Berhasil
95928054,Berhasil
95928556,Berhasil
95933210,Berhasil
95933329,Berhasil
95933734,Berhasil
95933734,Berhasil
95934668,Berhasil
95934870,Berhasil
95935445,Berhasil
95936156,Berhasil
95936876,Berhasil
95937245,Berhasil
95937397,Berhasil
95937411,Berhasil
95937431,Gagal - PCL nan tidak ada
95937462,Berhasil
95937535,Berhasil
95938517,Gagal - PCL nan tidak ada
95938542,Berhasil
95939771,Gagal - PCL nan tidak ada
95940623,Berhasil
95941715,Berhasil
95942260,Berhasil
95942452,Berhasil
95942678,Berhasil
95942711,Berhasil
95943441,Berhasil
95944351,Berhasil
95945341,Berhasil
95946086,Berhasil
95946436,Berhasil
95946528,Gagal - PCL nan tidak ada
95946592,Berhasil
95946851,Berhasil
95947052,Berhasil
95947402,Berhasil
95948118,Berhasil
95948150,Berhasil
95948364,Berhasil
